gene,cum_weighted_context_score
Tet3,-1.99
Atad2b,-1.35
Tet2,-1.14
Col1a1,-1.13
Eln,-1.12
Col4a5,-1.09
Adamts17,-1.05
Col3a1,-0.91
Ifi30,-0.87
Eif4e2,-0.85
Tdg,-0.81
Col5a3,-0.78
Angptl4,-0.77
Adamts12,-0.76
Adamts9,-0.75
Col11a1,-0.75
Dusp2,-0.75
Nfia,-0.74
Glis2,-0.74
Nav3,-0.72
Lysmd1,-0.72
Kctd20,-0.7
Hrk,-0.69
Spns1,-0.69
Sparc,-0.68
Eva1b,-0.68
Col9a1,-0.68
Rlf,-0.67
Dpysl5,-0.66
Ppic,-0.66
Gpr37,-0.66
Nrep,-0.65
Sestd1,-0.65
Suv420h2,-0.64
Mex3b,-0.64
Adamts2,-0.63
Slc30a3,-0.63
Tet1,-0.63
Has3,-0.63
Zdhhc21,-0.63
Fem1b,-0.62
Mlf1,-0.62
Trib2,-0.61
Tmem169,-0.61
Traf4,-0.61
Bak1,-0.61
Gpr156,-0.6
Gm9726,-0.6
Enho,-0.6
Col7a1,-0.6
Erp29,-0.6
Smim17,-0.6
Cldn1,-0.59
Pmp22,-0.59
Ireb2,-0.59
Bach2,-0.58
Abcb6,-0.58
Pgap2,-0.57
Cbx6,-0.57
Ptp4a1,-0.57
Rnd3,-0.57
Wisp1,-0.57
Icos,-0.56
Zbtb34,-0.56
Col4a1,-0.56
Lims1,-0.56
Pi15,-0.56
Pan2,-0.55
Lox,-0.55
Smtnl2,-0.54
Eps15,-0.54
Slc19a3,-0.54
Adamts10,-0.54
Eomes,-0.53
Grip1,-0.53
Ky,-0.53
Rnf39,-0.53
Kdelc1,-0.53
Ybx3,-0.53
3110057O12Rik,-0.53
0610030E20Rik,-0.52
Zfp36l1,-0.52
Cav2,-0.52
Col2a1,-0.52
Stmn2,-0.52
Adam19,-0.52
Narf,-0.52
Frat2,-0.51
Zfp346,-0.51
Brwd3,-0.51
C1qtnf6,-0.5
Col4a2,-0.5
Zfp36,-0.5
Islr2,-0.5
Clec2l,-0.5
Fbn1,-0.5
Tfeb,-0.5
Nckap5,-0.49
Gxylt2,-0.49
Rpl5,-0.49
Pxdn,-0.49
Zbtb5,-0.49
Dpp3,-0.49
Amer1,-0.49
Tnfrsf1a,-0.49
Cd276,-0.48
Tmc5,-0.48
Tectb,-0.48
Col24a1,-0.48
Snx24,-0.47
Xkr6,-0.47
Npas3,-0.47
Col27a1,-0.47
Atp5g1,-0.47
Lep,-0.47
Tfec,-0.47
Dgkd,-0.46
Dtwd2,-0.46
Arf2,-0.46
Kctd3,-0.46
Morf4l1,-0.46
4931406P16Rik,-0.46
Pdgfc,-0.45
Zfp282,-0.45
Mcl1,-0.45
Tubb2a,-0.45
Olfr701,-0.45
Cep97,-0.45
P2ry4,-0.45
Elf2,-0.45
Per3,-0.45
Hdac4,-0.45
Stard8,-0.45
Fam57b,-0.45
Dynlt1a,-0.44
Dynlt1b,-0.44
Phc1,-0.44
Dynlt1f,-0.44
Ammecr1l,-0.44
Nudt11,-0.44
Mybl2,-0.44
Btg2,-0.44
Pdgfa,-0.43
Mycn,-0.43
Kctd5,-0.43
Mllt11,-0.43
Taf5,-0.43
Dnmt3b,-0.43
Adamts18,-0.43
Hmgn3,-0.43
Ddx3x,-0.43
1810013L24Rik,-0.43
Elovl4,-0.42
Trim63,-0.42
Tpk1,-0.42
Nckap5l,-0.42
Dgkh,-0.42
9530068E07Rik,-0.42
Crispld1,-0.42
Col6a3,-0.42
Gm20721,-0.42
Col15a1,-0.42
Zdhhc5,-0.42
Kif26a,-0.41
Sms,-0.41
Col4a3,-0.41
Efna5,-0.41
Ccnyl1,-0.41
Plp1,-0.41
Fam168b,-0.41
Klhl28,-0.41
Nos1ap,-0.41
Mafg,-0.41
Adamts16,-0.41
Tmem236,-0.41
Hif3a,-0.41
Mbtd1,-0.41
Clk2,-0.41
Gm17296,-0.41
Ppp1r3d,-0.4
Chfr,-0.4
Ibsp,-0.4
Tspan14,-0.4
Sh3bp5l,-0.4
Bsnd,-0.4
N4bp2l1,-0.4
Fam136b-ps,-0.4
Prpf3,-0.4
Eml5,-0.4
Ankrd49,-0.4
Fam167a,-0.4
Nap1l3,-0.39
Erlin2,-0.39
Pdgfrb,-0.39
Ccnt2,-0.39
Lepre1,-0.39
Mfap5,-0.39
Eml6,-0.39
Lif,-0.39
Unc13b,-0.39
Pthlh,-0.39
Col6a2,-0.39
Kif26b,-0.39
Arf5,-0.39
Fbxl18,-0.39
Cmpk1,-0.39
Cps1,-0.39
Dio2,-0.38
Bcl2l2,-0.38
Zbtb46,-0.38
Col8a1,-0.38
Fbxw7,-0.38
AF529169,-0.38
Sgk1,-0.38
Dynlt1c,-0.38
Proser1,-0.38
Ccnl2,-0.38
Fam219b,-0.38
Tll1,-0.38
Kctd15,-0.37
Hmgcr,-0.37
Nanp,-0.37
Agtr2,-0.37
Cbx2,-0.37
Chsy1,-0.37
Vamp3,-0.37
Xkr4,-0.37
Upk1b,-0.37
Dolpp1,-0.37
Gid8,-0.37
Trafd1,-0.36
Tcf4,-0.36
Gtpbp2,-0.36
Commd2,-0.36
Smek2,-0.36
Znf512b,-0.36
Hcn1,-0.36
Usp34,-0.36
Cilp2,-0.36
Spry1,-0.36
Rlim,-0.36
Fam193b,-0.36
Abhd4,-0.36
Ppm1d,-0.36
Mark3,-0.36
Mog,-0.36
Ric8,-0.36
Mxd4,-0.35
Nup160,-0.35
Slc16a14,-0.35
Pik3r1,-0.35
Adamts20,-0.35
Hnf4g,-0.35
Arrdc3,-0.35
G6pc,-0.35
Sypl2,-0.35
Bdh1,-0.35
Serpinh1,-0.35
Lypla1,-0.35
Ypel2,-0.35
Spata2l,-0.34
Ldlrad3,-0.34
Insig1,-0.34
4921524J17Rik,-0.34
Golga7,-0.34
Mfap2,-0.34
Ing4,-0.34
Emp1,-0.34
Emid1,-0.34
Vegfa,-0.34
Isl1,-0.34
Naa40,-0.34
Ldlrap1,-0.34
Bmf,-0.34
Dennd6a,-0.34
Abce1,-0.34
Rab30,-0.34
Chic2,-0.34
Foxo3,-0.34
Urm1,-0.34
5730508B09Rik,-0.33
Ankrd13b,-0.33
Plag1,-0.33
Col4a6,-0.33
Thsd4,-0.33
Eml4,-0.33
Fos,-0.33
Sptan1,-0.33
Trp53inp1,-0.33
Gpcpd1,-0.33
Syncrip,-0.33
Trim37,-0.33
Atg9a,-0.33
Tbc1d7,-0.33
Iffo1,-0.33
Apcdd1,-0.33
Ddx3y,-0.33
Hmgcs1,-0.33
Cep68,-0.32
Kdm5b,-0.32
Amot,-0.32
Hecw1,-0.32
Gpr101,-0.32
Srcrb4d,-0.32
Gjd2,-0.32
Samd4,-0.32
Dbt,-0.32
Nlgn3,-0.32
Fam76b,-0.32
Jazf1,-0.32
Ccdc85a,-0.32
Plekha8,-0.32
Rapgefl1,-0.32
Prrt4,-0.32
Col4a4,-0.32
Otub2,-0.32
Usp42,-0.32
Ptbp3,-0.31
Zfp651,-0.31
Shroom4,-0.31
Oxtr,-0.31
Larp4b,-0.31
Tspan4,-0.31
Cdc7,-0.31
Pdhx,-0.31
AI593442,-0.31
Pigm,-0.31
Ahr,-0.31
Asxl3,-0.31
Stag2,-0.31
1700019D03Rik,-0.31
Endou,-0.31
Josd1,-0.31
Slc16a2,-0.31
Mfap3,-0.3
Nkrf,-0.3
R3hdm4,-0.3
Hnrnpf,-0.3
Ywhae,-0.3
Akap5,-0.3
Gm16515,-0.3
Cd46,-0.3
B3galt1,-0.3
Senp1,-0.3
Orai2,-0.3
Entpd7,-0.3
Rap1gds1,-0.29
Cpsf7,-0.29
H2afx,-0.29
Bmpr1a,-0.29
Klf4,-0.29
Fbn2,-0.29
Arl5b,-0.29
Itgb1,-0.29
Rab15,-0.29
Vcl,-0.29
Tmem183a,-0.29
Rnf122,-0.29
Col19a1,-0.29
Fbxw9,-0.29
Mtss1l,-0.29
Zkscan7,-0.29
Ap1g1,-0.29
Rev3l,-0.29
Fam184b,-0.29
Strn4,-0.29
Nav2,-0.29
