"cluster","lineage","state"
"0","Cycling","Proliferating (S phase)"
"1","Cycling","Proliferating (G2M/M)"
"2","CD8","CD8 effector/cytotoxic"
"3","CD4","IFN-gamma-responsive"
"4","CD8","CD8 terminally exhausted"
"5","CD4","Naive/Tscm (Tcf1-hi)"
"6","CD4","Activated Th1 effector"
"7","Cycling","Proliferating (G2M/M)"
"8","Unresolved","Stressed/metabolic (EV-skewed)"
"9","CD4","Treg"
"10","CD4","Type-I IFN / ISR"
"11","Mixed","CX3CR1+KLRG1+ terminal effector"
"12","Mixed","miR29a-enriched (uncharacterized)"
"13","gdT","gamma-delta T cells"
