chr,start,end,strand,gene,gene_id,feature,miRNA,log2FC,neglog10_p,neglog10_padj,contrast,grpA,grpB,padj,sig,background
chr4,32253411,32253502,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-142a-3p,-3.68,3.23,2.39,Teff_vs_Tn,Teff,Tn,0.00407380277804113,TRUE,FALSE
chr4,32356880,32357001,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.02,2.72,1.88,Teff_vs_Tn,Teff,Tn,0.0131825673855641,TRUE,FALSE
chr4,32357001,32357157,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-2.89,2.69,1.84,Teff_vs_Tn,Teff,Tn,0.0144543977074593,TRUE,FALSE
chr4,32356703,32356880,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-2.5,2.44,1.6,Teff_vs_Tn,Teff,Tn,0.0251188643150958,TRUE,FALSE
chr4,32357001,32357157,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.61,2.74,1.9,Tex_vs_Tn,Tex,Tn,0.0125892541179417,TRUE,FALSE
chr4,32253411,32253502,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-142a-3p,-3.53,2.56,1.72,Tex_vs_Tn,Tex,Tn,0.0190546071796325,TRUE,FALSE
chr4,32356880,32357001,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.37,2.46,1.61,Tex_vs_Tn,Tex,Tn,0.0245470891568503,TRUE,FALSE
chr4,32356703,32356804,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-2.96,2.27,1.43,Tex_vs_Tn,Tex,Tn,0.0371535229097173,TRUE,FALSE
chr4,32356703,32356804,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-4.24,4.35,3.51,Tmem_vs_Tn,Tmem,Tn,0.000309029543251359,TRUE,FALSE
chr4,32356880,32357001,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.73,3.62,2.78,Tmem_vs_Tn,Tmem,Tn,0.00165958690743756,TRUE,FALSE
chr4,32356804,32356880,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.2,2.97,2.13,Tmem_vs_Tn,Tmem,Tn,0.00741310241300918,TRUE,FALSE
chr4,32357001,32357157,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.08,2.96,2.11,Tmem_vs_Tn,Tmem,Tn,0.00776247116628692,TRUE,FALSE
chr4,32253411,32253502,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-142a-3p,-3.12,2.56,1.72,Tmem_vs_Tn,Tmem,Tn,0.0190546071796325,TRUE,FALSE
chr12,25094281,25094429,-,Id2,ENSMUSG00000020644.9,3' UTR,mmu-miR-142a-5p,2.72,2.19,1.35,Tex_vs_Tn,Tex,Tn,0.0446683592150963,TRUE,FALSE
chr12,25094269,25094427,-,Id2,ENSMUSG00000020644.9,3' UTR,mmu-miR-142a-5p,3.45,3.91,3.07,Tmem_vs_Tn,Tmem,Tn,0.000851138038202377,TRUE,FALSE
