chr,start,end,strand,gene,gene_id,feature,miRNA,log2FC,neglog10_p,neglog10_padj,contrast,grpA,grpB,padj,sig,background
chrM,872,969,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-147-3p,7.12,11.41,10.56,Teff_vs_Tn,Teff,Tn,2.75422870333816e-11,TRUE,TRUE
chr1,161038085,161038159,+,Snord47|Gas5,ENSMUSG00000053332.13||ENSMUSG00000064968.1,Other,mmu-miR-34a-5p,5.8,11.25,10.41,Teff_vs_Tn,Teff,Tn,3.8904514499428e-11,TRUE,FALSE
chr1,161038085,161038159,+,Snord47|Gas5,ENSMUSG00000053332.13||ENSMUSG00000064968.1,Other,mmu-miR-182-5p,5.65,7.51,6.66,Teff_vs_Tn,Teff,Tn,2.18776162394955e-07,TRUE,FALSE
chr2,5379254,5379380,-,Camk1d,ENSMUSG00000039145.16,Intron,mmu-miR-34a-5p,4.49,4.45,3.6,Teff_vs_Tn,Teff,Tn,0.000251188643150958,TRUE,FALSE
chr13,23684602,23684659,+,H2bc4,ENSMUSG00000018102.5,CDS,mmu-miR-34a-5p,4.38,4.34,3.5,Teff_vs_Tn,Teff,Tn,0.000316227766016838,TRUE,FALSE
chr6,11900421,11900591,-,Ndufa4,ENSMUSG00000029632.7,CDS,mmu-miR-147-3p,4.34,4.3,3.45,Teff_vs_Tn,Teff,Tn,0.000354813389233575,TRUE,FALSE
chr1,161038078,161038085,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-34a-5p,4.15,3.85,3.01,Teff_vs_Tn,Teff,Tn,0.000977237220955811,TRUE,FALSE
chrM,872,969,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,3.96,3.53,2.69,Teff_vs_Tn,Teff,Tn,0.00204173794466953,TRUE,TRUE
chr4,32253411,32253502,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-142a-3p,-3.68,3.23,2.39,Teff_vs_Tn,Teff,Tn,0.00407380277804113,TRUE,FALSE
chr1,161036680,161036739,+,Gas5|Gm23212,ENSMUSG00000084667.1||ENSMUSG00000053332.13,Other,mmu-let-7i-5p,3.65,5.47,4.62,Teff_vs_Tn,Teff,Tn,2.39883291901949e-05,TRUE,FALSE
chr4,134127417,134127565,-,Sh3bgrl3,ENSMUSG00000028843.8,3' UTR,mmu-miR-744-5p,3.58,3.49,2.65,Teff_vs_Tn,Teff,Tn,0.00223872113856834,TRUE,FALSE
chr19,5797525,5797699,-,Malat1,ENSMUSG00000092341.3,Other,mmu-miR-16-5p,-3.4,3.58,2.74,Teff_vs_Tn,Teff,Tn,0.00181970085860998,TRUE,TRUE
chr15,84703280,84703395,+,Prr5,ENSMUSG00000036106.15,3' UTR,mmu-miR-466i-5p,3.23,2.32,1.47,Teff_vs_Tn,Teff,Tn,0.0338844156139203,TRUE,FALSE
chr9,65902948,65903038,+,Pclaf,ENSMUSG00000040204.6,3' UTR,mmu-miR-466i-5p,3.15,2.46,1.61,Teff_vs_Tn,Teff,Tn,0.0245470891568503,TRUE,FALSE
chr11,54696786,54696816,+,Rapgef6,ENSMUSG00000037533.20,3' UTR,mmu-miR-142a-3p,-3.15,2.18,1.33,Teff_vs_Tn,Teff,Tn,0.0467735141287198,TRUE,FALSE
chrM,3874,3915,+,mt-Nd2,ENSMUSG00000064345.1,CDS,mmu-miR-21a-5p,3.14,3.11,2.26,Teff_vs_Tn,Teff,Tn,0.00549540873857625,TRUE,TRUE
chr1,161038085,161038159,+,Snord47|Gas5,ENSMUSG00000053332.13||ENSMUSG00000064968.1,Other,mmu-miR-23b-3p,3.14,2.2,1.35,Teff_vs_Tn,Teff,Tn,0.0446683592150963,TRUE,FALSE
chrM,604,721,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-let-7k,-3.13,2.31,1.46,Teff_vs_Tn,Teff,Tn,0.0346736850452532,TRUE,TRUE
chr19,5797784,5797882,-,Malat1,ENSMUSG00000092341.3,Other,mmu-miR-16-5p,-3.12,2.19,1.34,Teff_vs_Tn,Teff,Tn,0.0457088189614875,TRUE,TRUE
