"module","gene"
"Exhaustion","Pdcd1"
"Exhaustion","Havcr2"
"Exhaustion","Lag3"
"Exhaustion","Tigit"
"Exhaustion","Ctla4"
"Exhaustion","Entpd1"
"Exhaustion","Tox"
"FAO","Cpt1a"
"FAO","Acadvl"
"FAO","Acadm"
"FAO","Hadha"
"FAO","Hadhb"
"FAO","Slc25a20"
"FOXO_Cell_Cycle_Restraint","Cdkn1b"
"FOXO_Cell_Cycle_Restraint","Bcl2l11"
"FOXO_Cell_Cycle_Restraint","Fasl"
"FOXO_Core","Foxo1"
"FOXO_Core","Foxo3"
"FOXO_Core","Foxo4"
"FOXO_Memory_Quiescence","Il7r"
"FOXO_Memory_Quiescence","Sell"
"FOXO_Memory_Quiescence","Ccr7"
"FOXO_Memory_Quiescence","Klf2"
"FOXO_Memory_Quiescence","Bcl2"
"FOXO_Memory_Quiescence","Tcf7"
"FOXO_Stress_Autophagy","Sod2"
"FOXO_Stress_Autophagy","Cat"
"FOXO_Stress_Autophagy","Gadd45a"
"FOXO_Stress_Autophagy","Bnip3"
"FOXO_Stress_Autophagy","Sesn3"
"FOXO_Stress_Autophagy","Atg5"
"FOXO_Stress_Autophagy","Atg7"
"FOXO_Stress_Autophagy","Atg12"
"FOXO_Stress_Autophagy","Map1lc3b"
"FOXO_Stress_Autophagy","Becn1"
"FOXO_Stress_Autophagy","Sqstm1"
"G2M_CellCycle","Hmgb2"
"G2M_CellCycle","Cdk1"
"G2M_CellCycle","Nusap1"
"G2M_CellCycle","Ube2c"
"G2M_CellCycle","Birc5"
"G2M_CellCycle","Tpx2"
"G2M_CellCycle","Top2a"
"G2M_CellCycle","Ndc80"
"G2M_CellCycle","Cks2"
"G2M_CellCycle","Nuf2"
"G2M_CellCycle","Mki67"
"G2M_CellCycle","Tmpo"
"G2M_CellCycle","Tacc3"
"G2M_CellCycle","Smc4"
"G2M_CellCycle","Ccnb2"
"G2M_CellCycle","Aurkb"
"G2M_CellCycle","Bub1"
"G2M_CellCycle","Kif11"
"G2M_CellCycle","Gtse1"
"G2M_CellCycle","Kif20b"
"G2M_CellCycle","Hjurp"
"G2M_CellCycle","Cdca3"
"G2M_CellCycle","Cdc20"
"G2M_CellCycle","Ttk"
"G2M_CellCycle","Cdc25c"
"G2M_CellCycle","Kif2c"
"G2M_CellCycle","Rangap1"
"G2M_CellCycle","Ncapd2"
"G2M_CellCycle","Dlgap5"
"G2M_CellCycle","Cdca2"
"G2M_CellCycle","Cdca8"
"G2M_CellCycle","Ect2"
"G2M_CellCycle","Kif23"
"G2M_CellCycle","Hmmr"
"G2M_CellCycle","Aurka"
"G2M_CellCycle","Psrc1"
"G2M_CellCycle","Anln"
"G2M_CellCycle","Lbr"
"G2M_CellCycle","Ckap5"
"G2M_CellCycle","Cenpe"
"G2M_CellCycle","Ctcf"
"G2M_CellCycle","Nek2"
"G2M_CellCycle","Gas2l3"
"G2M_CellCycle","Cbx5"
"G2M_CellCycle","Cenpa"
"Glycolysis","Hk2"
"Glycolysis","Pfkp"
"Glycolysis","Aldoa"
"Glycolysis","Gapdh"
"Glycolysis","Eno1"
"Glycolysis","Pkm"
"Glycolysis","Ldha"
"Glycolysis","Slc2a1"
"Mito_Biogenesis","Ppargc1a"
"Mito_Biogenesis","Tfam"
"Mito_Biogenesis","Nrf1"
"Mito_Biogenesis","Esrra"
"Mito_Biogenesis","Gabpa"
"Mito_Dynamics_QC","Opa1"
"Mito_Dynamics_QC","Mfn1"
"Mito_Dynamics_QC","Mfn2"
"Mito_Dynamics_QC","Dnm1l"
"Mito_Dynamics_QC","Fis1"
"Mito_Dynamics_QC","Pink1"
"Mito_Dynamics_QC","Prkn"
"Mito_Dynamics_QC","Bnip3"
"Mito_Dynamics_QC","Fundc1"
"Mito_Stress_ROS","Sod2"
"Mito_Stress_ROS","Prdx3"
"Mito_Stress_ROS","Txn2"
"Mito_Stress_ROS","Gpx4"
"Mito_Stress_ROS","Hmox1"
"Mito_Stress_ROS","Ddit3"
"Mito_Stress_ROS","Atf4"
"mTOR_MYC_Anabolic","Myc"
"mTOR_MYC_Anabolic","Mtor"
"mTOR_MYC_Anabolic","Slc7a5"
"mTOR_MYC_Anabolic","Eif4ebp1"
"mTOR_MYC_Anabolic","Rpl4"
"mTOR_MYC_Anabolic","Rpl5"
"mTOR_MYC_Anabolic","Rpl10a"
"mTOR_MYC_Anabolic","Rps3"
"mTOR_MYC_Anabolic","Rps6"
"mTOR_MYC_Anabolic","Rps14"
"mTOR_MYC_Anabolic","Rps15a"
"OXPHOS_ETC","Ndufa1"
"OXPHOS_ETC","Ndufa4"
"OXPHOS_ETC","Ndufb8"
"OXPHOS_ETC","Ndufs1"
"OXPHOS_ETC","Uqcrc1"
"OXPHOS_ETC","Uqcrq"
"OXPHOS_ETC","Cox5a"
"OXPHOS_ETC","Cox6a1"
"OXPHOS_ETC","Cox7a2"
"OXPHOS_ETC","Atp5g1"
"Proliferative_Metabolic","Mki67"
"Proliferative_Metabolic","Top2a"
"Proliferative_Metabolic","Pcna"
"Proliferative_Metabolic","Birc5"
"Proliferative_Metabolic","Stmn1"
"Proliferative_Metabolic","Tyms"
"Proliferative_Metabolic","Mcm2"
"Proliferative_Metabolic","Mcm5"
"Stem_Memory","Tcf7"
"Stem_Memory","Sell"
"Stem_Memory","Ccr7"
"Stem_Memory","Lef1"
"Stem_Memory","Il7r"
"Stem_Memory","Slamf6"
"Stem_Memory","Bach2"
"Stem_Memory","S1pr1"
"Stem_Memory","Klf2"
"TCA","Pdha1"
"TCA","Pdhb"
"TCA","Pdhx"
"TCA","Dlat"
"TCA","Cs"
"TCA","Aco2"
"TCA","Idh3a"
"TCA","Ogdh"
"TCA","Mdh2"
"miR29a_targets_top100","Tet3"
"miR29a_targets_top100","Atad2b"
"miR29a_targets_top100","Tet2"
"miR29a_targets_top100","Col1a1"
"miR29a_targets_top100","Eln"
"miR29a_targets_top100","Col4a5"
"miR29a_targets_top100","Adamts17"
"miR29a_targets_top100","Ifi30"
"miR29a_targets_top100","Eif4e2"
"miR29a_targets_top100","Tdg"
"miR29a_targets_top100","Angptl4"
"miR29a_targets_top100","Adamts12"
"miR29a_targets_top100","Adamts9"
"miR29a_targets_top100","Col11a1"
"miR29a_targets_top100","Dusp2"
"miR29a_targets_top100","Nfia"
"miR29a_targets_top100","Glis2"
"miR29a_targets_top100","Nav3"
"miR29a_targets_top100","Lysmd1"
"miR29a_targets_top100","Kctd20"
"miR29a_targets_top100","Spns1"
"miR29a_targets_top100","Sparc"
"miR29a_targets_top100","Eva1b"
"miR29a_targets_top100","Rlf"
"miR29a_targets_top100","Dpysl5"
"miR29a_targets_top100","Ppic"
"miR29a_targets_top100","Nrep"
"miR29a_targets_top100","Sestd1"
"miR29a_targets_top100","Mex3b"
"miR29a_targets_top100","Adamts2"
"miR29a_targets_top100","Slc30a3"
"miR29a_targets_top100","Tet1"
"miR29a_targets_top100","Has3"
"miR29a_targets_top100","Zdhhc21"
"miR29a_targets_top100","Fem1b"
"miR29a_targets_top100","Mlf1"
"miR29a_targets_top100","Trib2"
"miR29a_targets_top100","Tmem169"
"miR29a_targets_top100","Traf4"
"miR29a_targets_top100","Bak1"
"miR29a_targets_top100","Gpr156"
"miR29a_targets_top100","Col7a1"
"miR29a_targets_top100","Erp29"
"miR29a_targets_top100","Smim17"
"miR29a_targets_top100","Ireb2"
"miR29a_targets_top100","Bach2"
"miR29a_targets_top100","Abcb6"
"miR29a_targets_top100","Pgap2"
"miR29a_targets_top100","Cbx6"
"miR29a_targets_top100","Ptp4a1"
"miR29a_targets_top100","Rnd3"
"miR29a_targets_top100","Icos"
"miR29a_targets_top100","Zbtb34"
"miR29a_targets_top100","Col4a1"
"miR29a_targets_top100","Lims1"
"miR29a_targets_top100","Pan2"
"miR29a_targets_top100","Smtnl2"
"miR29a_targets_top100","Eps15"
"miR29a_targets_top100","Adamts10"
"miR29a_targets_top100","Eomes"
"miR29a_targets_top100","Grip1"
"miR29a_targets_top100","Ky"
"miR29a_targets_top100","Rnf39"
"miR29a_targets_top100","Ybx3"
"miR29a_targets_top100","0610030E20Rik"
"miR29a_targets_top100","Zfp36l1"
"miR29a_targets_top100","Cav2"
"miR29a_targets_top100","Col2a1"
"miR29a_targets_top100","Adam19"
"miR29a_targets_top100","Narf"
"miR29a_targets_top100","Frat2"
"miR29a_targets_top100","Zfp346"
"miR29a_targets_top100","Brwd3"
"miR29a_targets_top100","C1qtnf6"
"miR29a_targets_top100","Col4a2"
"miR29a_targets_top100","Zfp36"
"miR29a_targets_top100","Islr2"
"miR29a_targets_top100","Clec2l"
"miR29a_targets_top100","Fbn1"
"miR29a_targets_top100","Tfeb"
"miR29a_targets_top100","Nckap5"
"miR29a_targets_top100","Gxylt2"
"miR29a_targets_top100","Rpl5"
"miR29a_targets_score_lt_neg0.2","Tet3"
"miR29a_targets_score_lt_neg0.2","Atad2b"
"miR29a_targets_score_lt_neg0.2","Tet2"
"miR29a_targets_score_lt_neg0.2","Col1a1"
"miR29a_targets_score_lt_neg0.2","Eln"
"miR29a_targets_score_lt_neg0.2","Col4a5"
"miR29a_targets_score_lt_neg0.2","Adamts17"
"miR29a_targets_score_lt_neg0.2","Ifi30"
"miR29a_targets_score_lt_neg0.2","Eif4e2"
"miR29a_targets_score_lt_neg0.2","Tdg"
"miR29a_targets_score_lt_neg0.2","Angptl4"
"miR29a_targets_score_lt_neg0.2","Adamts12"
"miR29a_targets_score_lt_neg0.2","Adamts9"
"miR29a_targets_score_lt_neg0.2","Col11a1"
"miR29a_targets_score_lt_neg0.2","Dusp2"
"miR29a_targets_score_lt_neg0.2","Nfia"
"miR29a_targets_score_lt_neg0.2","Glis2"
"miR29a_targets_score_lt_neg0.2","Nav3"
"miR29a_targets_score_lt_neg0.2","Lysmd1"
"miR29a_targets_score_lt_neg0.2","Kctd20"
"miR29a_targets_score_lt_neg0.2","Spns1"
"miR29a_targets_score_lt_neg0.2","Sparc"
"miR29a_targets_score_lt_neg0.2","Eva1b"
"miR29a_targets_score_lt_neg0.2","Rlf"
"miR29a_targets_score_lt_neg0.2","Dpysl5"
"miR29a_targets_score_lt_neg0.2","Ppic"
"miR29a_targets_score_lt_neg0.2","Nrep"
"miR29a_targets_score_lt_neg0.2","Sestd1"
"miR29a_targets_score_lt_neg0.2","Mex3b"
"miR29a_targets_score_lt_neg0.2","Adamts2"
"miR29a_targets_score_lt_neg0.2","Slc30a3"
"miR29a_targets_score_lt_neg0.2","Tet1"
"miR29a_targets_score_lt_neg0.2","Has3"
"miR29a_targets_score_lt_neg0.2","Zdhhc21"
